"Region","Regional District","Year","Gender","Total","LT1"," 1 to 4"," 5 to 9","10 to 14","15 to 19","20 to 24","25 to 29","30 to 34","35 to 39","40 to 44","45 to 49","50 to 54","55 to 59","60 to 64","65 to 69","70 to 74","75 to 79","80 to 84","85 to 89","90+"
"0","British Columbia",1999,"M",1992579,21782,95175,129551,135409,139006,133068,142252,153773,176351,168772,154300,132434,99703,81381,75840,62135,47580,26299,12938,4830
"0","British Columbia",1999,"F",2018796,20503,89869,123138,127703,130402,128758,141111,152879,176442,172161,154323,131348,99454,81884,76271,70698,63655,41715,24659,11823
"0","British Columbia",2000,"M",2005377,21319,92117,128299,134752,142318,134006,138366,151073,174465,170583,157023,139786,103721,82979,75776,64006,48374,27623,13891,4900
"0","British Columbia",2000,"F",2033853,20122,87204,121261,127866,132903,129418,137051,151322,174646,174355,158453,138906,103442,83645,76158,71029,63959,43373,26287,12453
"0","British Columbia",2001,"M",2023380,20949,89474,127137,134559,145332,136706,135452,150879,169965,172487,160147,145919,108466,85541,76107,66122,49257,29426,14257,5198
"0","British Columbia",2001,"F",2053501,19688,84832,119976,128056,135213,131623,134161,151931,171163,176433,162997,145387,107879,86669,76492,71762,63830,45963,26984,12462
"0","British Columbia",2002,"M",2033086,20490,86975,124624,135678,144496,139311,132886,148654,164819,173079,162785,147443,117542,88962,76129,67633,49952,31602,14483,5543
"0","British Columbia",2002,"F",2067075,19277,82524,117529,127921,135322,135032,132221,150023,165953,176715,167194,147448,117261,90411,77556,71904,63710,48234,27397,13443
"0","British Columbia",2003,"M",2044148,20800,85537,121614,136020,143277,142970,131268,145715,158112,174389,165639,149197,124890,93838,76888,68692,51111,33559,14751,5881
"0","British Columbia",2003,"F",2079789,19590,80821,114858,127830,133786,138308,130871,146913,160042,177704,170687,150578,125177,95143,78875,72486,63677,50340,27796,14307
"0","British Columbia",2004,"M",2058436,20631,85137,119035,135144,143718,145302,131739,142078,153580,175807,167230,152266,130890,99018,78449,69207,52449,35370,15214,6172
"0","British Columbia",2004,"F",2096581,19530,79942,112600,127377,132916,141609,131948,143041,155515,178774,173173,154739,132102,100628,80959,72513,63642,52193,28350,15030
"0","British Columbia",2005,"M",2078852,20912,85143,116472,134259,145073,147821,133629,138563,152005,175826,169427,155391,138020,103416,80363,69557,53973,36132,16636,6234
"0","British Columbia",2005,"F",2116912,19633,79546,110322,126421,133668,143014,134467,140135,153769,177862,175283,159319,139775,105230,83177,72722,64057,52784,30248,15480
"0","British Columbia",2006,"M",2101387,21023,85823,114569,132957,146783,148091,136497,135672,152106,173227,171537,159269,143857,108402,83335,69933,55832,36939,18167,7368
"0","British Columbia",2006,"F",2140407,20175,79881,107774,125357,135038,143267,138074,137657,153451,174780,177371,163633,146421,109555,86851,73301,64590,52758,32281,18192
"0","British Columbia",2007,"M",2127572,21911,86279,113398,132832,145551,149532,141510,136450,151868,168809,174337,163269,145745,116959,86795,70246,57376,37515,19506,7684
"0","British Columbia",2007,"F",2163412,20483,81175,106718,123724,135571,143888,142249,138657,153810,170383,178905,167253,147495,118367,90027,74334,64719,52645,34171,18838
"0","British Columbia",2008,"M",2158715,22726,87422,113206,131663,144823,151207,147713,138830,151845,163616,177695,167490,148433,124254,91152,71218,58366,38433,20668,7955
"0","British Columbia",2008,"F",2190621,21364,82382,106379,121867,135056,145483,147735,140594,154070,166090,181298,170748,149635,125454,94018,75477,65256,52650,35542,19523
"0","British Columbia",2009,"M",2190971,23022,89166,113028,129918,144999,153522,154136,142551,150343,160126,179933,170185,152236,130344,95944,72979,58983,39448,21804,8304
"0","British Columbia",2009,"F",2219535,21536,84042,106130,120441,134012,147823,153761,143722,152721,163089,183310,173542,152639,131444,98831,77320,65298,52580,36937,20357
"0","British Columbia",2010,"M",2219479,23033,91478,112864,127186,146702,154113,158513,146541,148155,158825,178777,172651,155583,137817,100079,75058,59797,40919,22244,9144
"0","British Columbia",2010,"F",2246067,21395,85644,106171,118531,133275,150655,158590,146559,151226,162278,181814,175624,155956,138118,102786,79480,65551,52976,37222,22216
"0","British Columbia",2011,"M",2237994,22487,93067,113321,124084,148553,153240,157709,150004,145402,159456,174258,175022,159475,143582,104841,77463,60565,42817,22609,10039
"0","British Columbia",2011,"F",2264110,21482,86258,106906,115920,133912,149558,159218,149080,148938,163398,178058,178372,159651,143127,106568,82708,66130,53648,37316,23862
"0","British Columbia",2012,"M",2268314,22457,92804,114451,121780,147789,159169,158988,153282,145565,159758,172081,177793,163844,145390,113264,80492,61106,44209,23310,10782
"0","British Columbia",2012,"F",2298455,21215,87164,108261,113794,133534,151801,159608,153807,149463,165022,175908,181879,166410,145600,115687,85395,67190,54066,37565,25086
"0","British Columbia",2013,"M",2297991,22662,92310,115517,120841,145043,163502,160928,157685,146100,158895,168273,181007,168496,147898,120636,85005,62173,45360,24301,11359
"0","British Columbia",2013,"F",2332086,21510,87107,110002,112809,131378,152798,159870,158541,150258,165004,173233,185750,173126,150100,123796,89574,68482,54688,37951,26109
"0","British Columbia",2014,"M",2333888,22652,92414,117240,120408,143156,167156,165312,162804,148225,156581,166203,183869,172246,151606,126800,89787,63673,46331,25354,12071
"0","British Columbia",2014,"F",2373215,21339,87590,112052,113060,130517,153991,162005,163346,152477,163392,172241,189547,178919,156259,131194,94515,70231,54939,38398,27203
"0","British Columbia",2015,"M",2365415,23206,93018,119235,119900,142301,166631,168268,166945,150675,153703,165556,184793,175936,155591,134366,93521,65632,47138,26417,12583
"0","British Columbia",2015,"F",2410973,21613,88171,114118,114029,130179,152108,163734,166612,155270,161338,173302,190447,183947,162861,140060,98824,72220,55282,38923,27935
"0","British Columbia",2016,"M",2405364,23161,95659,121009,120339,142072,165678,172724,172721,155540,151434,166489,183036,179642,160632,140444,98119,67910,47923,27684,13148
"0","British Columbia",2016,"F",2453886,21780,89314,116336,115578,130226,151321,166106,170570,159216,159556,175677,189313,188521,169971,147533,103522,75070,55991,39574,28711
"0","British Columbia",2017,"M",2438883,23152,96136,122428,121035,142249,168014,176066,176703,161282,151181,165339,178273,181665,164454,142038,106508,71050,48687,28952,13671
"0","British Columbia",2017,"F",2490501,21929,89416,117225,116959,132618,152834,169249,173407,164406,158999,175257,185426,190072,174987,150274,112931,78094,57092,39966,29360
"0","British Columbia",2018,"M",2479444,22655,96032,123739,122505,143525,173355,180771,181274,168228,152348,163446,172609,183618,168458,144133,113381,75242,49659,30037,14429
"0","British Columbia",2018,"F",2531032,21692,89247,117594,118781,135219,157362,172170,177182,170396,159302,173533,181012,192084,179591,153738,120920,82151,58448,40476,30134
"0","British Columbia",2019,"M",2521582,22326,95503,124603,124757,142072,178719,185331,186678,175879,155111,161177,168776,185105,171832,147311,119328,79537,51118,31043,15376
"0","British Columbia",2019,"F",2573214,21113,89144,117760,120514,135689,162683,175284,181949,176831,161128,170593,177994,193823,183083,158594,128173,86971,60029,40989,30870
"0","British Columbia",2020,"M",2551929,22347,94389,126232,127253,138644,177394,186345,191559,182542,159150,158715,167147,184380,174495,150901,126014,83195,53106,31739,16382
"0","British Columbia",2020,"F",2606799,20787,88756,118328,122329,133759,163516,175338,186578,181923,164961,167761,177453,192945,185891,163458,136340,91325,62053,41646,31652
"0","British Columbia",2021,"M",2578973,21902,93629,127296,128306,132816,175303,188044,195813,189390,165280,157101,167642,181808,176998,155142,131281,87259,54999,32102,16862
"0","British Columbia",2021,"F",2635832,20751,87765,118915,123105,129160,162885,175507,190267,187248,169520,165746,178588,190706,188420,168808,143147,96027,64776,42292,32199
"0","British Columbia",2022,"M",2627029,22511,93181,128719,130824,134861,172324,195376,204102,195850,172319,157766,167239,177985,179755,159355,133072,94298,56882,32581,18029
"0","British Columbia",2022,"F",2688535,21355,87438,119778,124999,131253,163902,182458,197521,192447,176168,165997,179003,187558,190816,174198,145962,104401,66617,43068,33596
"0","British Columbia",2023,"M",2668838,22917,93292,128660,132987,140849,167928,199104,210248,201208,179870,158830,165540,172810,182440,163653,135404,100463,60054,33406,19175
"0","British Columbia",2023,"F",2734229,21738,87419,119841,126195,137365,161621,187206,201767,197141,182576,166549,177628,183523,193489,179080,149548,111923,70012,44155,35453
"0","British Columbia",2024,"M",2707871,23229,93824,128246,134292,146043,164264,201673,215096,206887,187444,161178,162875,169217,184338,167117,138596,105597,63257,34467,20231
"0","British Columbia",2024,"F",2777213,22033,88122,119481,126821,141860,160030,191417,205119,201856,188631,168322,174692,180753,195700,182729,154414,118528,74162,45386,37157
"0","British Columbia",2025,"M",2745309,23495,94559,127248,135902,150171,161756,202994,219084,212512,194492,165007,160088,167510,183812,169998,142225,111430,66027,35822,21177
"0","British Columbia",2025,"F",2818489,22287,89321,118793,127271,145345,158605,195260,207676,206995,193489,171796,171633,180206,195103,185764,159260,125916,77924,46918,38927
"0","British Columbia",2026,"M",2782555,23743,95946,126421,137265,153398,161619,202015,222977,217740,200913,170400,157599,167347,181014,172639,146400,116167,69339,37231,22382
"0","British Columbia",2026,"F",2859370,22526,90655,118219,127963,148219,158409,196722,211428,211319,198505,175736,169175,181037,192783,188547,164385,132104,81967,48920,40751
"0","British Columbia",2027,"M",2819439,23968,97103,125907,138165,156076,165667,197542,226448,223452,206094,176620,157710,166504,176950,175006,150211,117895,75529,39094,23498
"0","British Columbia",2027,"F",2899670,22743,91759,117860,128356,150349,162308,195657,214000,215960,202359,181517,168797,180937,189254,190510,169359,134749,89675,50996,42525
"0","British Columbia",2028,"M",2856340,24175,98128,126202,137925,158117,171435,192645,229192,228932,211072,183874,158590,164718,171880,177617,154330,120282,80900,41636,24690
"0","British Columbia",2028,"F",2939962,22940,92747,118010,128254,151421,168219,192748,217673,219573,206693,187662,169173,179443,185196,193085,174087,138331,96478,53904,44325
"0","British Columbia",2029,"M",2892910,24357,99070,126957,137440,159390,176547,188779,231371,233508,216592,191280,160825,162061,168418,179529,157724,123407,85409,44222,26024
"0","British Columbia",2029,"F",2980034,23113,93652,118917,127825,152016,172644,190929,221467,222668,211258,193584,170851,176489,182477,195289,177707,143108,102506,57406,46128
"0","British Columbia",2030,"M",2929054,24509,99930,127941,136433,161016,180673,186213,232637,237450,222182,198236,164574,159324,166820,179147,160640,126928,90479,46470,27452
"0","British Columbia",2030,"F",3019852,23258,94478,120350,127122,152479,176136,189469,225265,225181,216369,198391,174274,173469,181989,194793,180783,147860,109264,60636,48286
"0","British Columbia",2031,"M",2964740,24631,100695,129561,135595,162383,183898,186027,231618,241303,227380,204580,169875,156891,166723,176578,163337,130928,94621,49114,29002
"0","British Columbia",2031,"F",3059281,23375,95211,121912,126533,153178,179011,189239,226686,228893,220670,203365,178166,171047,182854,192613,183606,152839,114957,64166,50960
"0","British Columbia",2032,"M",3000017,24728,101355,130945,135083,163290,186575,190052,227142,244760,233068,209715,176005,157021,165961,172792,165768,134604,96460,53949,30744
"0","British Columbia",2032,"F",3098204,23467,95839,123229,126171,153580,181148,193121,225601,231449,225297,207197,183903,170691,182795,189254,185642,157665,117677,70731,53747
"0","British Columbia",2033,"M",3034946,24808,101905,132173,135376,163057,188614,195783,222239,247485,238525,214643,183156,157900,164278,168060,168451,138583,98801,58150,32959
"0","British Columbia",2033,"F",3136575,23542,96363,124405,126318,153484,182225,199009,222669,235102,228899,211504,189996,171076,181364,185394,188282,162270,121129,76474,57070
"0","British Columbia",2034,"M",3069497,24878,102353,133291,136125,162575,189885,200857,218357,249646,243085,220111,190455,160110,161750,164876,170447,141897,101742,61709,35348
"0","British Columbia",2034,"F",3174380,23609,96791,125478,127218,153060,182823,203407,220818,238873,231981,216041,195867,172749,178502,182845,190561,165857,125624,81549,60727
"0","British Columbia",2035,"M",3103607,24945,102721,134297,137105,161573,191506,204948,215770,250897,247011,225652,197313,163807,159149,163479,170275,144814,105064,65666,37615
"0","British Columbia",2035,"F",3211659,23673,97140,126441,128644,152359,183288,206872,219323,242646,234480,221120,200632,176147,175571,182466,190226,168958,130130,87177,64366
"0","British Columbia",2036,"M",3137233,25018,103032,135179,138721,160741,192871,208143,215561,249868,250850,230807,203567,169030,156841,163507,168029,147537,108763,68937,40231
"0","British Columbia",2036,"F",3248461,23743,97437,127281,130197,151777,183989,209727,219063,244047,238179,225392,205565,180013,173235,183397,188258,171823,134819,91941,68578
"0","British Columbia",2037,"M",3170401,25107,103321,135932,140102,160233,193780,210794,219554,245396,254295,236448,208631,175072,157030,162874,164630,150004,112172,70683,44343
"0","British Columbia",2037,"F",3284805,23828,97712,127995,131511,151421,184395,211844,222914,242946,240725,229995,209367,185701,172925,183408,185137,173946,139375,94503,75157
"0","British Columbia",2038,"M",3203188,25227,103618,136559,141327,160532,193547,212808,225249,240495,257013,241858,213494,182115,157946,161347,160380,152747,115862,72805,48259
"0","British Columbia",2038,"F",3320686,23941,97995,128588,132683,151571,184302,212903,228768,240001,244366,233574,213643,191743,173342,182077,181563,176657,143760,97687,81522
"0","British Columbia",2039,"M",3235677,25376,103966,137073,142441,161284,193068,214057,230288,236617,259168,246381,218895,189304,160162,159010,157601,154837,118982,75358,51809
"0","British Columbia",2039,"F",3356079,24084,98325,129075,133749,152476,183883,213481,233133,238137,248124,236636,218145,197563,175030,179350,179275,179021,147255,101731,87606
"0","British Columbia",2040,"M",3267916,25541,104395,137504,143442,162268,192070,215657,234349,234026,260418,250278,224369,196064,163834,156608,156499,154946,121820,78268,55560
"0","British Columbia",2040,"F",3390979,24240,98734,129483,134705,153906,183186,213929,236565,236628,251887,239120,223190,202296,178423,176560,179064,178904,150338,105817,94004
"0","British Columbia",2041,"M",3299911,25711,104916,137884,144322,163885,191240,217002,237516,233810,259399,254089,229463,202237,168997,154493,156716,153150,124511,81459,59111
"0","British Columbia",2041,"F",3425420,24403,99229,129843,135541,155462,182608,214612,239390,236355,253280,242801,227434,207191,182274,174354,180102,177234,153200,110011,100096
"0","British Columbia",2042,"M",3331653,25885,105517,138257,145073,165268,190734,217891,240143,237781,254946,257509,235039,207238,174965,154778,156257,150290,126973,84428,62681
"0","British Columbia",2042,"F",3459454,24568,99803,130194,136249,156780,182255,215002,241480,240187,252176,245334,232007,210971,187924,174119,180212,174467,155390,114095,106241
"0","British Columbia",2043,"M",3363138,26054,106173,138672,145694,166497,191033,217642,242134,243454,250066,260207,240387,212045,181912,155763,154952,146724,129721,87639,66369
"0","British Columbia",2043,"F",3493121,24729,100426,130585,136837,157956,182409,214894,242510,246017,249233,248957,235561,215222,193924,174600,179024,171332,158154,118066,112685
"0","British Columbia",2044,"M",3394381,26208,106849,139164,146207,167614,191785,217148,243362,248474,246205,262349,244861,217385,189005,158010,152889,144515,131860,90396,70095
"0","British Columbia",2044,"F",3526418,24875,101070,131053,137321,159025,183316,214460,243065,250364,247368,252698,238604,219700,199706,176324,176497,169440,160597,121338,119597
"0","British Columbia",2045,"M",3425405,26337,107515,139754,146633,168618,192769,216136,244939,252515,243635,263591,248716,222804,195685,161674,150779,143827,132287,92988,74203
"0","British Columbia",2045,"F",3559320,24998,101704,131610,137722,159985,184749,213747,243487,253779,245862,256441,241076,224713,204415,179724,173917,169477,160775,124307,126832
